# k, Q1, Q2, Q3, Q5, Q8, Qs2
2.033078169311926795e-04 7.404952565318135435e-06 -1.792649222453907419e-06 2.810272621542563258e-06 2.806157157023834911e-06 3.676902074221469890e-02 7.351582662673344926e-02
2.051899464049058497e-04 7.680740356482206819e-06 -1.858892131671371912e-06 2.915248879859676627e-06 2.910929940824940767e-06 3.745290887243669237e-02 7.488277552380395719e-02
2.070894997603430084e-04 7.966779460818951402e-06 -1.927572992296290691e-06 3.024133268241940520e-06 3.019609287674086375e-06 3.814951620047508235e-02 7.627513206256771039e-02
2.090066382997203141e-04 8.263449996417236612e-06 -1.998781540137947557e-06 3.137092452682084864e-06 3.132340610806209127e-06 3.885907925151536185e-02 7.769336815304146715e-02
2.109415248185143562e-04 8.571146151458993812e-06 -2.072610052331868679e-06 3.254249751140734799e-06 3.249274727112728517e-06 3.958183894798865399e-02 7.913796445752294129e-02
2.128943236192867080e-04 8.890276661432410500e-06 -2.149154506135511333e-06 3.375794448014065528e-06 3.370568050553455886e-06 4.031804069126662671e-02 8.060941055254894350e-02
2.148652005256365249e-04 9.221265399730712954e-06 -2.228514483131275335e-06 3.501856442493937578e-06 3.496382811126152962e-06 4.106793444490478007e-02 8.210820509361035913e-02
2.168543228962803188e-04 9.564551870855739579e-06 -2.310792582559451660e-06 3.632633802415589693e-06 3.626887254358483493e-06 4.183177481938692849e-02 8.363485598316128256e-02
2.188618596392639243e-04 9.920591835754102067e-06 -2.396096204808595879e-06 3.768280178173412501e-06 3.762255873809332231e-06 4.260982115846522617e-02 8.518988054142317967e-02
2.208879812263062222e-04 1.028985788910395251e-05 -2.484535210421764095e-06 3.908987346772913137e-06 3.902669648018964154e-06 4.340233762713108928e-02 8.677380568059485377e-02
2.229328597072734825e-04 1.067284008454743723e-05 -2.576225109069155926e-06 4.054947218318586770e-06 4.048316273007751949e-06 4.420959330118357650e-02 8.838716808211349862e-02
2.249966687247899105e-04 1.107004658036836773e-05 -2.671283929154643427e-06 4.206337098578960962e-06 4.199390410165953789e-06 4.503186225844355017e-02 9.003051437714600091e-02
2.270795835289832025e-04 1.148200427623722617e-05 -2.769835472311019558e-06 4.363391289338092005e-06 4.356093942920187733e-06 4.586942367169589280e-02 9.170440133056308174e-02
2.291817809923648414e-04 1.190925956113183031e-05 -2.872006938344713356e-06 4.526277553388010090e-06 4.518636250393969659e-06 4.672256190333734516e-02 9.340939602799128161e-02
2.313034396248498748e-04 1.235237894292179858e-05 -2.977930664710543075e-06 4.695262583227485174e-06 4.687234465905397509e-06 4.759156660178092552e-02 9.514607606673310125e-02
