#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.093966e-06 1.075461e+02 1.075465e+02 1.045853e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948235e+01 5.990585e-09 6.088435e-08 -1.541566e-07 -7.626704e-13 4.883236e+03 4.515474e+06 9.555260e+05 -2.437378e-03 -5.034549e-02 -2.269792e-01 -1.119161e-01 2.980606e-02 8.489289e-01 4.229632e-03 2.712189e-07 9.126575e-07 -1.584339e-07
1.097246e-06 1.075461e+02 1.075465e+02 1.050491e-09 3.755310e+00 1.947944e+01 3.755963e+00 1.948235e+01 6.017745e-09 6.113373e-08 -1.545550e-07 -7.674408e-13 4.876740e+03 4.503470e+06 9.529937e+05 -2.440927e-03 -5.042613e-02 -2.273411e-01 -1.121025e-01 2.985577e-02 8.491888e-01 4.229553e-03 2.723700e-07 9.156562e-07 -1.589653e-07
1.100536e-06 1.075461e+02 1.075465e+02 1.055150e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.045029e-09 6.138413e-08 -1.549543e-07 -7.722410e-13 4.870252e+03 4.491499e+06 9.504681e+05 -2.444482e-03 -5.050689e-02 -2.277036e-01 -1.122892e-01 2.990556e-02 8.494488e-01 4.229474e-03 2.735261e-07 9.186647e-07 -1.594986e-07
1.103835e-06 1.075461e+02 1.075465e+02 1.059830e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.072436e-09 6.163555e-08 -1.553547e-07 -7.770713e-13 4.863774e+03 4.479559e+06 9.479492e+05 -2.448042e-03 -5.058779e-02 -2.280667e-01 -1.124762e-01 2.995543e-02 8.497088e-01 4.229395e-03 2.746870e-07 9.216832e-07 -1.600337e-07
1.107145e-06 1.075461e+02 1.075465e+02 1.064530e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.099968e-09 6.188801e-08 -1.557561e-07 -7.819318e-13 4.857303e+03 4.467651e+06 9.454370e+05 -2.451607e-03 -5.066882e-02 -2.284304e-01 -1.126636e-01 3.000539e-02 8.499689e-01 4.229316e-03 2.758528e-07 9.247115e-07 -1.605705e-07
1.110464e-06 1.075461e+02 1.075465e+02 1.069251e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.127625e-09 6.214150e-08 -1.561584e-07 -7.868227e-13 4.850841e+03 4.455774e+06 9.429315e+05 -2.455177e-03 -5.074997e-02 -2.287946e-01 -1.128512e-01 3.005543e-02 8.502291e-01 4.229237e-03 2.770236e-07 9.277498e-07 -1.611092e-07
1.113794e-06 1.075461e+02 1.075465e+02 1.073994e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.155406e-09 6.239603e-08 -1.565618e-07 -7.917441e-13 4.844388e+03 4.443929e+06 9.404325e+05 -2.458752e-03 -5.083126e-02 -2.291594e-01 -1.130392e-01 3.010555e-02 8.504894e-01 4.229158e-03 2.781994e-07 9.307981e-07 -1.616496e-07
1.117133e-06 1.075461e+02 1.075465e+02 1.078757e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.183314e-09 6.265160e-08 -1.569663e-07 -7.966964e-13 4.837944e+03 4.432116e+06 9.379402e+05 -2.462333e-03 -5.091267e-02 -2.295248e-01 -1.132275e-01 3.015576e-02 8.507498e-01 4.229078e-03 2.793802e-07 9.338564e-07 -1.621919e-07
1.120482e-06 1.075461e+02 1.075465e+02 1.083541e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.211349e-09 6.290822e-08 -1.573717e-07 -8.016796e-13 4.831508e+03 4.420334e+06 9.354546e+05 -2.465918e-03 -5.099422e-02 -2.298907e-01 -1.134160e-01 3.020605e-02 8.510102e-01 4.228999e-03 2.805660e-07 9.369247e-07 -1.627360e-07
1.123842e-06 1.075461e+02 1.075465e+02 1.088346e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.239510e-09 6.316589e-08 -1.577781e-07 -8.066941e-13 4.825080e+03 4.408583e+06 9.329754e+05 -2.469509e-03 -5.107590e-02 -2.302573e-01 -1.136049e-01 3.025642e-02 8.512707e-01 4.228920e-03 2.817568e-07 9.400031e-07 -1.632819e-07
