# k, R1, R2
9.214722077394347068e-04 1.928923340716007240e-01 -4.803300577492991552e-02
9.300027700541178876e-04 1.981688764085075272e-01 -4.934399355778350954e-02
9.386123043581832059e-04 2.035892034201194079e-01 -5.069058076577835636e-02
9.473015417376797831e-04 2.091574094989596677e-01 -5.207377616020392175e-02
9.560712200467121492e-04 2.148760241449710895e-01 -5.349419840758570105e-02
9.649220839700988882e-04 2.207500168266389451e-01 -5.495307313441821773e-02
9.738548850866023338e-04 2.267840666230488689e-01 -5.645155310204492266e-02
9.828703819327524061e-04 2.329806985400297570e-01 -5.799025429530983711e-02
9.919693400672615572e-04 2.393459697075618620e-01 -5.957067135776301231e-02
1.001152532136026160e-03 2.458845746581757585e-01 -6.119395908162593434e-02
1.010420737937740366e-03 2.525995083467987290e-01 -6.286084867810098897e-02
1.019774744490116458e-03 2.594972271174598721e-01 -6.457293212804814109e-02
1.029215346096707491e-03 2.665818163163188315e-01 -6.633121065516227322e-02
1.038743344414361355e-03 2.738589132827967676e-01 -6.813707097316538952e-02
1.048359548521296102e-03 2.813324708327065715e-01 -6.999147990512992468e-02
1.058064774985797160e-03 2.890091654809867627e-01 -7.189608117823831357e-02
1.067859847935560737e-03 2.968930980567335287e-01 -7.385187688343777812e-02
1.077745599127678420e-03 3.049905033815957789e-01 -7.586039919126655318e-02
1.087722868019259503e-03 3.133064077215380605e-01 -7.792287873950880239e-02
1.097792501838717929e-03 3.218480384656337567e-01 -8.004109273640885869e-02
1.107955355657717997e-03 3.306204525445086695e-01 -8.221627759349069142e-02
1.118212292463781430e-03 3.396297354010782144e-01 -8.444992455845548585e-02
1.128564183233561873e-03 3.488828755643134660e-01 -8.674374841402605896e-02
1.139011907006817195e-03 3.583837003127121057e-01 -8.909867687517357415e-02
1.149556350961046828e-03 3.681432725071324685e-01 -9.151743551527988241e-02
1.160198410486825826e-03 3.781654674688365581e-01 -9.400096173601729665e-02
1.170938989263839740e-03 3.884571802697072695e-01 -9.655094259622117037e-02
1.181778999337624670e-03 3.990292993712460934e-01 -9.917005634984539519e-02
1.192719361197008355e-03 4.098831482751185695e-01 -1.018586027171873160e-01
1.203761003852276811e-03 4.210308821732499651e-01 -1.046195720905804538e-01
1.214904864914066089e-03 4.324796035713335818e-01 -1.074546976599284054e-01
1.226151890672973069e-03 4.442351079650075363e-01 -1.103653865260734029e-01
1.237503036179913923e-03 4.563091533972910563e-01 -1.133545256306456722e-01
1.248959265327227210e-03 4.687077591001612697e-01 -1.164235745876854022e-01
1.260521550930515525e-03 4.814388784956393774e-01 -1.195744719232628289e-01
1.272190874811257371e-03 4.945125839231749865e-01 -1.228096808188196276e-01
1.283968227880183171e-03 5.079391042053719163e-01 -1.261317013623080574e-01
1.295854610221411308e-03 5.217251726734062345e-01 -1.295421638215897286e-01
1.307851031177374550e-03 5.358828572054527006e-01 -1.330440211908578418e-01
1.319958509434534469e-03 5.504182007637810070e-01 -1.366387285653531125e-01
1.332178073109875193e-03 5.653461926560784390e-01 -1.403299600444143092e-01
1.344510759838210947e-03 5.806736114002384319e-01 -1.441193491437695873e-01
1.356957616860300468e-03 5.964117337625391979e-01 -1.480096439132119190e-01
1.369519701111773053e-03 6.125745462696483568e-01 -1.520042623070213261e-01
1.382198079312869921e-03 6.291659022843848481e-01 -1.561041054598575339e-01
1.394993828059041445e-03 6.462058562196143496e-01 -1.603140919384166141e-01
1.407908033912359715e-03 6.636987451036185925e-01 -1.646352380065661536e-01
1.420941793493775678e-03 6.816611994455117340e-01 -1.690716071402556253e-01
1.434096213576257096e-03 7.001055094931926126e-01 -1.736261830865553357e-01
1.447372411178761550e-03 7.190395025170505106e-01 -1.783008400208422606e-01
1.460771513661086570e-03 7.384822287903973770e-01 -1.831002321953628942e-01
1.474294658819604031e-03 7.584450525018909817e-01 -1.880271046344646202e-01
1.487942994983881438e-03 7.789388684723461687e-01 -1.930840828063058734e-01
