# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
2.5130e-04 1.7159e-05 -4.1244e-06 6.5295e-06 6.5172e-06 5.6177e-02 1.1230e-01
2.5363e-04 1.7797e-05 -4.2763e-06 6.7732e-06 6.7602e-06 5.7222e-02 1.1439e-01
2.5598e-04 1.8458e-05 -4.4337e-06 7.0259e-06 7.0123e-06 5.8286e-02 1.1652e-01
2.5835e-04 1.9144e-05 -4.5969e-06 7.2880e-06 7.2738e-06 5.9370e-02 1.1868e-01
2.6074e-04 1.9856e-05 -4.7661e-06 7.5599e-06 7.5450e-06 6.0475e-02 1.2089e-01
2.6315e-04 2.0594e-05 -4.9415e-06 7.8419e-06 7.8262e-06 6.1599e-02 1.2314e-01
2.6559e-04 2.1359e-05 -5.1233e-06 8.1344e-06 8.1180e-06 6.2745e-02 1.2543e-01
2.6805e-04 2.2153e-05 -5.3117e-06 8.4379e-06 8.4206e-06 6.3912e-02 1.2776e-01
2.7053e-04 2.2976e-05 -5.5071e-06 8.7526e-06 8.7345e-06 6.5101e-02 1.3013e-01
2.7303e-04 2.3830e-05 -5.7095e-06 9.0791e-06 9.0600e-06 6.6311e-02 1.3255e-01
2.7556e-04 2.4715e-05 -5.9194e-06 9.4176e-06 9.3977e-06 6.7545e-02 1.3502e-01
2.7811e-04 2.5633e-05 -6.1370e-06 9.7689e-06 9.7479e-06 6.8801e-02 1.3752e-01
2.8069e-04 2.6585e-05 -6.3625e-06 1.0133e-05 1.0111e-05 7.0081e-02 1.4008e-01
2.8329e-04 2.7572e-05 -6.5963e-06 1.0511e-05 1.0488e-05 7.1384e-02 1.4269e-01
2.8591e-04 2.8596e-05 -6.8386e-06 1.0903e-05 1.0879e-05 7.2712e-02 1.4534e-01
2.8856e-04 2.9658e-05 -7.0898e-06 1.1309e-05 1.1284e-05 7.4064e-02 1.4804e-01
2.9123e-04 3.0759e-05 -7.3501e-06 1.1731e-05 1.1704e-05 7.5441e-02 1.5079e-01
2.9392e-04 3.1901e-05 -7.6200e-06 1.2168e-05 1.2140e-05 7.6844e-02 1.5359e-01
2.9664e-04 3.3085e-05 -7.8997e-06 1.2622e-05 1.2593e-05 7.8274e-02 1.5645e-01
2.9939e-04 3.4313e-05 -8.1896e-06 1.3092e-05 1.3062e-05 7.9729e-02 1.5936e-01
3.0216e-04 3.5586e-05 -8.4900e-06 1.3580e-05 1.3548e-05 8.1212e-02 1.6232e-01
